scenario,group_id,window_idx,pkt_in,byte_in,avg_len,std_len,same_size_ratio,unique_src_port,top_port_pkt,iat_mean,iat_std,label
s5,r3_s5_multi_client_20251221_232101.pcap,1406,87,44715,513.9655172413793,566.4256441097916,0.22988505747126436,10,10,3.8276633550954418,33.462156909744074,0
s5,r3_s5_multi_client_20251221_232101.pcap,1231,41,22145,540.1219512195122,573.1465225816277,0.24390243902439024,5,9,0.19127726554870605,0.35778776006906027,0
s5,r3_s5_multi_client_20251221_232101.pcap,483,59,23755,402.6271186440678,498.2310708321444,0.2542372881355932,5,12,0.16127783676673627,0.37819604329779266,0
s5,r3_s5_multi_client_20251221_232101.pcap,831,85,44565,524.2941176470588,565.4561682400255,0.24705882352941178,10,10,3.715676920754569,32.118436937427845,0
s5,r3_s5_multi_client_20251221_232101.pcap,2180,42,22230,529.2857142857143,570.5172793057144,0.23809523809523808,5,9,0.1722719611191168,0.3495975661745181,0
s5,r3_s5_multi_client_20251221_232101.pcap,232,116,47361,408.2844827586207,497.68818665759545,0.25,10,12,2.894426428753397,29.040446899450373,0
s5,r3_s5_multi_client_20251221_232101.pcap,307,111,46875,422.2972972972973,513.3294359497761,0.23423423423423423,10,12,2.8449166904796255,27.813984036553126,0
s5,r3_s5_multi_client_20251221_232101.pcap,393,111,46855,422.1171171171171,516.4281124150677,0.23423423423423423,10,12,2.910991148515181,28.627102744411545,0
s5,r3_s5_multi_client_20251221_232101.pcap,56,106,46410,437.8301886792453,526.3191060115475,0.22641509433962265,10,12,3.186963853381929,30.447934144395106,0
s5,r3_s5_multi_client_20251221_232101.pcap,502,109,46705,428.48623853211006,515.9615164989243,0.23853211009174313,10,12,2.915713522169325,28.20790922281342,0
s5,r3_s5_multi_client_20251221_232101.pcap,635,86,44650,519.1860465116279,564.1281915925547,0.2441860465116279,10,10,3.774564406451057,32.816902129503816,0
s5,r3_s5_multi_client_20251221_232101.pcap,950,54,30252,560.2222222222222,557.3680101740968,0.35185185185185186,9,11,6.447864028642762,44.89547193513454,0
s5,r3_s5_multi_client_20251221_232101.pcap,994,115,47215,410.5652173913044,508.09566251684436,0.25217391304347825,10,12,2.9725087316412675,29.927743255390208,0
s5,r3_s5_multi_client_20251221_232101.pcap,1146,83,44375,534.6385542168674,571.8432378143981,0.24096385542168675,10,9,3.8060124327496783,32.39545779078479,0
s5,r3_s5_multi_client_20251221_232101.pcap,893,44,22400,509.09090909090907,565.0304423891215,0.22727272727272727,5,10,0.20836674889852835,0.3831861036489645,0
s5,r3_s5_multi_client_20251221_232101.pcap,864,91,45115,495.7692307692308,550.1772556909528,0.25274725274725274,10,11,3.417854838901096,30.199443720861378,0
s5,r3_s5_multi_client_20251221_232101.pcap,1324,58,23670,408.1034482758621,500.74412523126676,0.2413793103448276,5,12,0.1476689388877467,0.30877972685271066,0
s5,r3_s5_multi_client_20251221_232101.pcap,75,105,46365,441.57142857142856,521.240879461472,0.24761904761904763,10,12,3.08378843160776,29.625816784383076,0
s5,r3_s5_multi_client_20251221_232101.pcap,1739,99,44377,448.25252525252523,532.9697689502053,0.23232323232323232,10,12,3.152927573846311,29.457330349006643,0
s5,r3_s5_multi_client_20251221_232101.pcap,326,63,29860,473.968253968254,536.0115483313493,0.2857142857142857,8,12,5.004129102153163,37.74711249561404,0
s5,r3_s5_multi_client_20251221_232101.pcap,558,109,46686,428.3119266055046,519.1000097601476,0.22935779816513763,10,12,2.8689834806654186,27.787114708815782,0
s5,r3_s5_multi_client_20251221_232101.pcap,2124,55,23415,425.72727272727275,508.34707022038873,0.2545454545454545,5,12,0.19084965741192852,0.3125243362680778,0
s5,r3_s5_multi_client_20251221_232101.pcap,59,103,46155,448.1067961165049,530.4230389463441,0.23300970873786409,10,11,3.0196461023068895,28.743043690791783,0
s5,r3_s5_multi_client_20251221_232101.pcap,529,56,23460,418.92857142857144,518.1541020482109,0.25,5,12,0.12919686057350852,0.27025565788706263,0
s5,r3_s5_multi_client_20251221_232101.pcap,568,57,23585,413.7719298245614,503.26938193279017,0.24561403508771928,5,12,0.18224971635001047,0.38349005313451673,0
s5,r3_s5_multi_client_20251221_232101.pcap,1980,44,22420,509.54545454545456,557.7907091433235,0.25,5,10,0.2587229706520258,0.6439625600873674,0
s5,r3_s5_multi_client_20251221_232101.pcap,1127,118,47550,402.96610169491527,492.18306385168347,0.2542372881355932,10,12,2.633940460335495,26.97084527124967,0
s5,r3_s5_multi_client_20251221_232101.pcap,360,109,46645,427.9357798165138,525.3296086369303,0.23853211009174313,10,12,2.988455472169099,29.151187011075404,0
s5,r3_s5_multi_client_20251221_232101.pcap,1319,55,23375,425.0,520.8655383982599,0.23636363636363636,5,12,0.210775269402398,0.385322637692188,0
s5,r3_s5_multi_client_20251221_232101.pcap,86,112,46940,419.10714285714283,515.0945710176304,0.24107142857142858,10,12,2.8535331691707575,28.297405323806174,0
s5,r3_s5_multi_client_20251221_232101.pcap,2260,110,46770,425.1818181818182,517.7643932737637,0.22727272727272727,10,12,2.791918745828331,27.29850449559158,0
s5,r3_s5_multi_client_20251221_232101.pcap,995,54,23290,431.2962962962963,523.5882121593347,0.2222222222222222,5,12,0.17551206192880306,0.3630833873013684,0
s5,r3_s5_multi_client_20251221_232101.pcap,1602,55,23375,425.0,520.8655383982599,0.23636363636363636,5,12,0.16408937948721428,0.34595636385146056,0
s5,r3_s5_multi_client_20251221_232101.pcap,1781,96,45520,474.1666666666667,546.7825715543205,0.22916666666666666,10,12,3.1465254331889905,28.963413610137533,0
s5,r3_s5_multi_client_20251221_232101.pcap,113,102,46051,451.48039215686276,535.0530252335845,0.22549019607843138,10,11,3.086040515710812,28.802724774589212,0
s5,r3_s5_multi_client_20251221_232101.pcap,171,114,47131,413.4298245614035,509.3967875641453,0.24561403508771928,10,12,2.8554528160432797,28.404399539112635,0
s5,r3_s5_multi_client_20251221_232101.pcap,642,84,44460,529.2857142857143,570.5172793057145,0.23809523809523808,10,10,3.8682265454028024,33.29699966816893,0
s5,r3_s5_multi_client_20251221_232101.pcap,1232,81,44205,545.7407407407408,574.4246241536127,0.24691358024691357,10,9,3.92378568649292,32.82555668183743,0
s5,r3_s5_multi_client_20251221_232101.pcap,610,44,22420,509.54545454545456,557.7907091433234,0.25,5,10,0.1903966415760129,0.3322887035037253,0
